Voltage,Current
551.0282,3.85E-06
551.5303,3.86E-06
552.0292,3.86E-06
552.5319,3.87E-06
553.0339,3.88E-06
553.5345,3.88E-06
554.0368,3.89E-06
554.5367,3.89E-06
555.0765,3.90E-06
555.5789,3.91E-06
556.0786,3.91E-06
556.5804,3.92E-06
557.0829,3.92E-06
557.5829,3.93E-06
558.0837,3.94E-06
558.5852,3.94E-06
559.0856,3.95E-06
559.5865,3.95E-06
560.0909,3.96E-06
560.5926,3.97E-06
561.0941,3.97E-06
561.5948,3.98E-06
562.0962,3.99E-06
562.5781,3.99E-06
563.0783,4.00E-06
563.5803,4.00E-06
564.0814,4.01E-06
564.5831,4.02E-06
565.1408,4.02E-06
565.6423,4.03E-06
566.1431,4.04E-06
566.645,4.04E-06
567.1429,4.05E-06
567.6261,4.05E-06
568.1264,4.06E-06
568.6281,4.07E-06
569.1284,4.07E-06
569.6324,4.08E-06
570.1337,4.09E-06
570.6348,4.09E-06
571.1362,4.10E-06
571.6378,4.10E-06
572.1383,4.11E-06
572.6401,4.12E-06
573.1395,4.12E-06
573.6429,4.13E-06
574.1433,4.14E-06
574.6432,4.14E-06
575.1833,4.15E-06
575.684,4.16E-06
576.1859,4.16E-06
576.6879,4.17E-06
577.1885,4.17E-06
577.6905,4.18E-06
578.1932,4.19E-06
578.6935,4.19E-06
579.1957,4.20E-06
579.6967,4.21E-06
580.1782,4.21E-06
580.6793,4.22E-06
581.1834,4.23E-06
581.6825,4.23E-06
582.1844,4.24E-06
582.6861,4.25E-06
583.1859,4.25E-06
583.6877,4.26E-06
584.1905,4.27E-06
584.6898,4.27E-06
585.2285,4.28E-06
585.7297,4.29E-06
586.2324,4.29E-06
586.7343,4.30E-06
587.2363,4.31E-06
587.7383,4.31E-06
588.2389,4.32E-06
588.7397,4.33E-06
589.2421,4.33E-06
589.7438,4.34E-06
590.2433,4.35E-06
590.7454,4.35E-06
591.2466,4.36E-06
591.7471,4.37E-06
592.2498,4.37E-06
592.7314,4.38E-06
593.2344,4.39E-06
593.7362,4.39E-06
594.2382,4.40E-06
594.7393,4.41E-06
595.2958,4.41E-06
595.7976,4.42E-06
596.2987,4.43E-06
596.7983,4.43E-06
597.2997,4.44E-06
597.7841,4.45E-06
598.2842,4.45E-06
598.7855,4.46E-06
599.2874,4.47E-06
599.7888,4.47E-06
600.2889,4.48E-06
600.7907,4.49E-06
601.2893,4.49E-06
601.7917,4.50E-06
602.2947,4.51E-06
602.7969,4.52E-06
603.2961,4.52E-06
603.7987,4.53E-06
604.2993,4.54E-06
604.801,4.54E-06
605.3409,4.55E-06
605.8417,4.56E-06
606.3423,4.56E-06
606.8449,4.57E-06
607.3472,4.58E-06
607.8489,4.59E-06
608.3494,4.59E-06
608.8507,4.60E-06
609.3504,4.61E-06
609.852,4.61E-06
610.3356,4.62E-06
610.837,4.63E-06
611.3362,4.63E-06
611.8366,4.64E-06
612.3402,4.65E-06
612.8395,4.66E-06
613.341,4.66E-06
613.8409,4.67E-06
614.3441,4.68E-06
614.8447,4.68E-06
615.4017,4.69E-06
615.8856,4.70E-06
616.3859,4.71E-06
616.8879,4.71E-06
617.3889,4.72E-06
617.8906,4.73E-06
618.3922,4.74E-06
618.8926,4.74E-06
619.3921,4.75E-06
619.8944,4.76E-06
620.3957,4.76E-06
620.8964,4.77E-06
621.3983,4.78E-06
621.9008,4.79E-06
622.3997,4.79E-06
622.9022,4.80E-06
623.3851,4.81E-06
623.886,4.82E-06
624.3882,4.82E-06
624.8893,4.83E-06
625.4462,4.84E-06
625.9468,4.85E-06
626.4499,4.85E-06
626.9504,4.86E-06
627.4515,4.87E-06
627.9537,4.88E-06
628.4361,4.88E-06
628.9363,4.89E-06
629.4373,4.90E-06
629.9393,4.91E-06
630.4383,4.91E-06
630.9411,4.92E-06
631.443,4.93E-06
631.944,4.94E-06
632.4477,4.94E-06
632.9482,4.95E-06
633.4473,4.96E-06
633.9465,4.97E-06
634.4475,4.98E-06
634.9513,4.98E-06
635.488,4.99E-06
635.9889,5.00E-06
636.491,5.01E-06
636.9941,5.02E-06
637.4941,5.02E-06
637.9957,5.03E-06
638.4951,5.04E-06
638.9976,5.05E-06
639.4977,5.06E-06
639.9968,5.06E-06
640.4994,5.07E-06
640.9839,5.08E-06
641.4861,5.09E-06
641.9865,5.10E-06
642.4872,5.11E-06
642.9844,5.11E-06
643.485,5.12E-06
643.9871,5.13E-06
644.4891,5.14E-06
644.9897,5.15E-06
645.5476,5.16E-06
646.0312,5.17E-06
646.5312,5.17E-06
647.0334,5.18E-06
647.5353,5.19E-06
648.0341,5.20E-06
648.5366,5.21E-06
649.0375,5.22E-06
649.5381,5.23E-06
650.0366,5.24E-06
545.7329,1.04E-05
550.5264,3.85E-06
551.0295,3.85E-06
551.5308,3.86E-06
552.0308,3.86E-06
552.5327,3.87E-06
553.0338,3.87E-06
553.5352,3.88E-06
554.0372,3.89E-06
554.5404,3.89E-06
555.077,3.90E-06
555.5774,3.90E-06
556.0797,3.91E-06
556.5818,3.92E-06
557.0817,3.92E-06
557.5823,3.93E-06
558.0841,3.93E-06
558.5872,3.94E-06
559.0878,3.95E-06
559.5875,3.95E-06
560.0901,3.96E-06
560.5939,3.96E-06
561.0937,3.97E-06
561.5956,3.98E-06
562.0956,3.98E-06
562.5779,3.99E-06
563.0779,3.99E-06
563.5794,4.00E-06
564.0834,4.01E-06
564.5838,4.01E-06
565.1412,4.02E-06
565.6432,4.03E-06
566.1444,4.03E-06
566.6463,4.04E-06
567.1446,4.04E-06
567.6271,4.05E-06
568.1264,4.06E-06
568.6291,4.06E-06
569.1297,4.07E-06
569.6321,4.07E-06
570.1345,4.08E-06
570.6337,4.09E-06
571.1365,4.09E-06
571.6367,4.10E-06
572.1389,4.11E-06
572.6399,4.11E-06
573.1403,4.12E-06
573.643,4.12E-06
574.1452,4.13E-06
574.6437,4.14E-06
575.1829,4.14E-06
575.6856,4.15E-06
576.186,4.16E-06
576.6865,4.16E-06
577.1891,4.17E-06
577.6912,4.18E-06
578.1923,4.18E-06
578.6935,4.19E-06
579.1954,4.19E-06
579.6967,4.20E-06
580.1789,4.21E-06
580.6812,4.21E-06
581.1805,4.22E-06
581.6822,4.23E-06
582.184,4.23E-06
582.6866,4.24E-06
583.1869,4.25E-06
583.6881,4.25E-06
584.1904,4.26E-06
584.6906,4.27E-06
585.23,4.27E-06
