Applied_Voltage,Leakage_Current
554.8923,4.022195e-06
557.8823,4.059741e-06
560.8908,4.09769e-06
563.933,4.136365e-06
566.9405,4.174732e-06
569.9312,4.213216e-06
572.9376,4.252176e-06
575.9457,4.29144e-06
578.9933,4.331601e-06
581.9814,4.371155e-06
584.9896,4.411284e-06
587.9985,4.451726e-06
590.9882,4.492304e-06
594.035,4.53392e-06
597.0425,4.575319e-06
600.0499,4.616958e-06
4.013053,9.840659e-09
7.02137,1.778708e-08
10.06659,2.584148e-08
13.05473,3.344808e-08
16.06127,4.071807e-08
19.07124,4.783683e-08
22.05884,5.520089e-08
25.1205,6.321503e-08
28.11058,7.118141e-08
31.11847,7.928732e-08
34.10651,8.721354e-08
37.11096,9.500284e-08
40.15577,1.038007e-07
43.16464,1.145659e-07
46.15292,1.25598e-07
49.15956,1.369908e-07
52.16714,1.485413e-07
55.21316,1.606016e-07
58.21852,1.67565e-07
61.20788,1.840439e-07
64.21401,1.968307e-07
67.20404,2.09147e-07
70.26603,2.217613e-07
73.25457,2.343146e-07
76.26443,2.470909e-07
79.25313,2.59686e-07
82.26095,2.728459e-07
85.30611,2.86154e-07
88.31451,2.995007e-07
91.30379,3.127807e-07
94.31343,3.263738e-07
97.32087,3.399179e-07
100.3668,3.537334e-07
103.3732,3.676205e-07
106.3623,3.813622e-07
109.3715,3.95604e-07
112.3569,4.094489e-07
115.4207,4.23968e-07
118.412,4.385201e-07
121.4196,4.533148e-07
124.4091,4.681411e-07
127.4182,4.832972e-07
130.4625,4.995793e-07
133.4717,5.146131e-07
136.4584,5.301461e-07
139.468,5.467518e-07
142.4766,5.622072e-07
145.5194,5.792098e-07
148.5289,5.957803e-07
151.5206,6.116005e-07
154.5274,6.296888e-07
157.5152,6.466798e-07
160.5785,6.658786e-07
163.5669,6.853289e-07
166.5762,7.027735e-07
169.5656,7.213824e-07
172.5735,7.428598e-07
175.6179,7.605616e-07
178.6241,7.800826e-07
181.6135,8.003004e-07
184.6207,8.176889e-07
187.6246,8.394686e-07
190.6708,8.608782e-07
193.6774,8.792398e-07
196.6655,9.013869e-07
199.6752,9.209381e-07
202.6631,9.40966e-07
205.727,9.65376e-07
208.7167,9.821698e-07
211.7236,1.003372e-06
214.7127,1.024541e-06
217.7203,1.043251e-06
220.6917,1.049992e-06
222.9585,1.050006e-06
226.7519,1.054481e-06
229.7605,1.075051e-06
232.7696,1.09471e-06
235.8139,1.114763e-06
238.8214,1.134676e-06
241.8125,1.154793e-06
244.8212,1.17503e-06
247.8114,1.195314e-06
250.875,1.216258e-06
253.8628,1.236715e-06
256.8715,1.257369e-06
259.8611,1.278317e-06
262.8639,1.299437e-06
265.9119,1.320885e-06
268.9192,1.34215e-06
271.9265,1.363615e-06
274.9166,1.385057e-06
277.9241,1.406921e-06
280.9688,1.429091e-06
283.9781,1.451243e-06
286.967,1.473212e-06
289.9763,1.495418e-06
292.9642,1.517659e-06
296.0277,1.540745e-06
299.018,1.563305e-06
302.0262,1.586155e-06
305.0165,1.608961e-06
308.0796,1.63244e-06
311.0691,1.655385e-06
314.0758,1.678779e-06
317.0835,1.702375e-06
320.0724,1.725879e-06
323.1181,1.749922e-06
326.1242,1.773752e-06
329.1315,1.797811e-06
332.1232,1.821827e-06
